id,name,deck,first_appeared_in_game,site_detail_url,games,friends,enemies,locations,concepts,objects
3135,Brad Vickers,The designated rear guard and helicopter pilot for S.T.A.R.S. Alpha Team.,Resident Evil,https://www.giantbomb.com/brad-vickers/3005-3135/,Resident Evil 3; Teppen; Resident Evil Origins Collection; Resident Evil: Deadly Silence; Resident Evil; Resident Evil 3: Nemesis; Resident Evil 2; Resident Evil: Director's Cut; Resident Evil,Barry Burton; Chris Redfield; Edward Dewey; Enrico Marini; Jill Valentine; Joseph Frost; Kenneth J. Sullivan; Kevin Dooley; Richard Aiken,Albert Wesker; Nemesis,Raccoon City; Spencer Mansion,Aural Characters; Overdramatic Hand Gestures; Pilot; Redshirt; Reluctant Hero; Special Tactics and Rescue Service; Zombie,Helicopter; Rocket Launcher
500,Brad Wong,Brad Wong is a fighter in the Dead or Alive Series who utilizes Eight Spirits Drunken Fist fighting style.,Dead or Alive 3,https://www.giantbomb.com/brad-wong/3005-500/,Dead or Alive 6; Dead or Alive 5 Last Round; Dead or Alive 5 Ultimate; Dead or Alive 5; Dead or Alive: Dimensions; Dead or Alive 4; Dead or Alive 3,Eliot; Gen Fu; Kokoro,,,Combo; DOATEC; Drunk Character; Hand to Hand Combat; Martial Arts,Headband
41425,Braden Holtby,,NHL 20,https://www.giantbomb.com/braden-holtby/3005-41425/,NHL 20,Alexander Ovechkin,,,,
34738,Bradley Armstrong,The main character of the RPG LISA.,Lisa,https://www.giantbomb.com/bradley-armstrong/3005-34738/,Lisa,Buddy,,,Disembodiment; Eye Scars,Beard
30043,Bradley Biggle,A kid from South Park who is also the superhero Mint-Berry Crunch.,South Park: The Stick of Truth,https://www.giantbomb.com/bradley-biggle/3005-30043/,South Park: The Stick of Truth,Eric Cartman; Esther; Mrs. Biggle; The New Kid,,,,
54279,Bradley Lewis,"Bradley is a precocious little boy. He's sharp as a tack and cute as a button, but is rarely seen without some kind of costume. ",The Sims: Pet Stories,https://www.giantbomb.com/bradley-lewis/3005-54279/,The Sims: Pet Stories,Bronson Lewis; Elliott Lewis,,,,
45772,Bradley Paine,"A former CDC virologist, member of the Liberation doomsday cult, and target in Hitman's Patient Zero campaign.",Hitman,https://www.giantbomb.com/bradley-paine/3005-45772/,Hitman 3; Hitman 2; Hitman,Brother Akram; Craig Black; Owen Cage; Oybek Nabazov; Sister Yulduz,Agent 47,Colorado; The United States of America,Cults; Disease,Glasses
11347,Bradley Ragland,"Dr. Bradley Ragland works in the morgue of St. Paul's Hospital. Though he refuses to work with Blackwatch forces, he aids Alex Mercer in his attempt to contain the viral outbreak.",Prototype,https://www.giantbomb.com/bradley-ragland/3005-11347/,Prototype,Alex Mercer,Elizabeth Greene; Raymond McMullen,Manhattan; New York; New York City; The United States of America,Cutscene; Doctor; Non-Player Character; Voice Acting,Facial Hair; Glasses
44408,Bradley Walsh,The host of the game show The Chase.,The Chase: Ultimate Edition,https://www.giantbomb.com/bradley-walsh/3005-44408/,The Chase: Ultimate Edition,The Beast; The Governess; The Sinnerman; The Vixen,,England; United Kingdom,Game Show Host; Licensed Game,
53561,Brady Branson,"Was once a local news channel celebrity, until he quit his job to write the next great novel. He is well-known and liked throughout the area. Brady isn't so thrilled with his wife's aunt, Molly, moving in with them, but he is trying to make the best of it. ",The Sims 3: Pets,https://www.giantbomb.com/brady-branson/3005-53561/,The Sims 3: Pets,Brimmy Branson; Brock Branson; Brooke Branson,,,,
54049,Brady Carlson,Brady Carlson is a Sim in Garden Heights.,The Sims: Pet Stories,https://www.giantbomb.com/brady-carlson/3005-54049/,The Sims: Pet Stories,Glen Ebadi; Lora McGaw,,,,
9346,Brady Culture,"After being cancelled in favor of the Soda Poppers, Brady Culture toiled in obscurity, until his obsession for fame drove him to hypnotize former child stars, and then the world.",Sam & Max Episode 1: Culture Shock,https://www.giantbomb.com/brady-culture/3005-9346/,"Sam & Max Episode 205: What's New, Beelzebub?; Sam & Max Save the World; Sam & Max Episode 1: Culture Shock",Peepers; Specs; Whizzer,Bosco; Max; Peepers; Sam; Specs; Whizzer,Brady Culture's Home For Former Child Stars,,
26991,Brae Folmoric,A non-player character in Kingdoms of Amalur: Reckoning. She is a junior member of the Warsworn.,Kingdoms of Amalur: Reckoning,https://www.giantbomb.com/brae-folmoric/3005-26991/,Kingdoms of Amalur: Reckoning,Fateless One,,,A.I. Companion; Death; Non-Player Character; Voice Acting,Sword
27273,Braeburn,"Braeburn is the cousin of Applejack, Apple Bloom, and Big Macintosh.",My Little Pony: Friendship is Magic,https://www.giantbomb.com/braeburn/3005-27273/,My Little Pony: Friendship is Magic,Applebloom; Applejack; Big Macintosh,,,Talking Animal,Cowboy Hat
49337,Bragi Axebiter,A Dwarf Slayer who seeks death as atonement for causing the deaths of his father and brothers through recklessness. ,Warhammer: Chaosbane,https://www.giantbomb.com/bragi-axebiter/3005-49337/,Warhammer: Chaosbane,Elessa; Elontir; Emperor Magnus the Pious; Konrad Vollen,Friedrich Kessler; Helspeth Bale; Nebmakhet; Uthgrim Redaxe; Vigrun Skraeling,,Dual Wielding; Dungeon Crawling; Dwarf; Dwarf Slayers; Tragic Hero,Axe
21625,Brahma,The creation god of the Hindu Trimurti. His wife is Sarasvati and he is often depicted as sitting on a lotus flower growing from the navel of a sleeping Vishnu.,Digital Devil Monogatari: Megami Tensei II,https://www.giantbomb.com/brahma/3005-21625/,Puzzle & Dragons Nintendo Switch Edition; Monster Strike; Lord of Vermilion II; Shin Megami Tensei: Persona; Persona 2: Eternal Punishment; Majin Tensei II: Spiral Nemesis; Shin Megami Tensei; Digital Devil Monogatari: Megami Tensei II,Agni; Brahman; Hamsa; Kartikeya; Sarasvati; Shiva; Tilottama; Vayu; Vishnu,Asura; Mada,India,Demon; Hinduism,
21919,Brahman,"The one universal, all-encompassing spirit that is said to be the origin and support of earthly existence in Hindu mythology. Brahman is said to be the absolute essence of all visible phenomena. ",Shin Megami Tensei,https://www.giantbomb.com/brahman/3005-21919/,Shin Megami Tensei: Digital Devil Saga 2; Shin Megami Tensei,Brahma; Lakshmi; Parvati; Shiva; Vishnu,Maya,,Demon; Hinduism,
34727,Brahmastra,,Phantom of the Kill,https://www.giantbomb.com/brahmastra/3005-34727/,Phantom of the Kill,Arun; Parashu; Parashu; Vajra,,,,Gun
1780,Brahms,"Lord of the Undead in the Valkyrie Profile franchise. In Valkyrie Profile, he is in possession of one of the Valkyries, Silmeria.",Valkyrie Profile,https://www.giantbomb.com/brahms/3005-1780/,Lord of Vermilion II; Lord of Vermilion; Valkyrie Profile 2: Silmeria; Valkyrie Profile,Arngrim; Lenneth; Mystina; Silmeria,Arngrim; Freya; Hrist; Lezard Valeth; Mystina; Odin,Midgard,,
13328,Braig,"A gunslinger that appears in Kingdom Hearts:  Birth By Sleep.  He eventually loses his heart, spawning the Nobody Xigbar.",Kingdom Hearts: Birth by Sleep,https://www.giantbomb.com/braig/3005-13328/,Kingdom Hearts: All In One Package; Kingdom Hearts HD II.5 Remix; Kingdom Hearts: Birth by Sleep,Ansem; Master Xehanort; Vanitas; Xemnas,Aqua; DiZ; Terra; Ventus,Hollow Bastion; Keyblade Graveyard,Gunslinger,Blaster
36555,Braiking Boss,Braiking Boss is one of main antagonist in Neo human casshern.,Tatsunoko Fight,https://www.giantbomb.com/braiking-boss/3005-36555/,Dragon Poker; Tatsunoko Fight,,Casshern,,Robot; Sadism; Villain,Cape; Hat; Laser
6980,Brain,This hyper-cranial lab rat of Pinky and the Brain fame has one goal in mind: try and take over the world! Will Pinky and his Rube Goldberesque plans help him tonight?,Animaniacs,https://www.giantbomb.com/brain/3005-6980/,Animaniacs: The Great Edgar Hunt; Pinky and the Brain: The Master Plan; Pinky and the Brain: World Conquest; Animaniacs: Ten Pin Alley; Animaniacs,Pinky,Dot Warner; Wakko Warner; Yakko Warner,,Albino; Anthropomorphism; Anti-Villain; Cartoon Character; Gadgets; Genius-Level Intellect; Licensed Game; Rube Goldberg Puzzler; World Domination,
24204,Brain,Brain is the dog owned by Inspector Gadget and Penny., Electric Crayon 3.0: Inspector Gadget: Safety Patrol,https://www.giantbomb.com/brain/3005-24204/,Inspector Gadget Racing; Inspector Gadget: Advance Mission; Inspector Gadget: Operation Madkactus; Inspector Gadget; Inspector Gadget: Mission 1 - Global Terror!; Electric Crayon 3.0: Inspector Gadget: Safety Patrol; Inspector Gadget and the Circus of Fear,Inspector Gadget; Penny,Dr. Claw,,Animal Protagonists; Jump,Collar
29050,Brain,Brain is the disembodied brain of a German scientist. He is the partner-in-crime (and love) of Monsieur Mallah.,Teen Titans 2,https://www.giantbomb.com/brain/3005-29050/,Scribblenauts Mega Pack; Teeny Titans; Scribblenauts Unmasked: A DC Comics Adventure; Batman: The Brave and the Bold: The Videogame; Teen Titans 2,Monsieur Mallah,Beast Boy; Dick Grayson; Gorilla Grodd; Raven; Starfire,Germany,LGBT; Mad Scientist; Tragic Villain,Brain
25753,Brain Drain,"A member of the organization ""Lab 0"" in the Skullgirls game universe, he was actually created in ""Lab 7."" He is a potential DLC character after a successful Indiegogo campaign.",Skullgirls,https://www.giantbomb.com/brain-drain/3005-25753/,Skullgirls,Robo-Fortune; Valentine,Painwheel; Valentine,,Cyborg; Mind Control; Misanthropy,
